t,0,1,2,3
0.018000000000000002,(0.9987048394815666+0j),(0.0006473704432263578+0j),(0.0006473704432263501+0j),(4.1963198153786306e-07+0j)
0.036000000000000004,(0.9948294160521554+0j),(0.002581941438903247+0j),(0.0025819414389032297+0j),(6.701070039103253e-06+0j)
0.054000000000000006,(0.9884037869613878+0j),(0.005781199327073869+0j),(0.005781199327073848+0j),(3.38143844653886e-05+0j)
0.07200000000000001,(0.9794776588657251+0j),(0.010207977518741293+0j),(0.010207977518741253+0j),(0.00010638609679346687+0j)
0.09,(0.9681198104992476+0j),(0.01581098508510062+0j),(0.01581098508510058+0j),(0.00025821933055202864+0j)
0.10800000000000001,(0.9544172959423243+0j),(0.02252553551831199+0j),(0.022525535518311955+0j),(0.0005316330210526646+0j)
0.126,(0.9384744398075124+0j),(0.030274464608648993+0j),(0.030274464608648945+0j),(0.0009766309751902537+0j)
0.14400000000000002,(0.9204116385994711+0j),(0.038969223519151754+0j),(0.03896922351915169+0j),(0.0016499143622264027+0j)
0.162,(0.9003639852268857+0j),(0.04851113049008081+0j),(0.04851113049008074+0j),(0.002613753792953658+0j)
0.18,(0.8784797361083306+0j),(0.058792762212371966+0j),(0.05879276221237191+0j),(0.003934739466926363+0j)
0.198,(0.8549186424833835+0j),(0.06969946380882208+0j),(0.06969946380882203+0j),(0.005682429898973353+0j)
0.21600000000000003,(0.8298501693826048+0j),(0.0811109545862534+0j),(0.08111095458625336+0j),(0.007927921444889142+0j)
0.234,(0.803451627197575+0j),(0.09290300529872425+0j),(0.09290300529872418+0j),(0.010742362204977332+0j)
0.252,(0.7759062419029565+0j),(0.10494916161282894+0j),(0.10494916161282888+0j),(0.01419543487138649+0j)
0.27,(0.7474011907002399+0j),(0.11712248780731874+0j),(0.11712248780731871+0j),(0.018353833685123534+0j)
0.28800000000000003,(0.718125630167168+0j),(0.12929730448067864+0j),(0.12929730448067853+0j),(0.023279760871475437+0j)
0.306,(0.6882687439038452+0j),(0.14135089418571073+0j),(0.14135089418571062+0j),(0.029029467724734075+0j)
0.324,(0.6580178361684373+0j),(0.15316514945714757+0j),(0.15316514945714751+0j),(0.035651864917268246+0j)
0.342,(0.6275564971006954+0j),(0.16462813863815554+0j),(0.16462813863815542+0j),(0.043187225622994284+0j)
0.36,(0.5970628638548428+0j),(0.17563556622952278+0j),(0.17563556622952273+0j),(0.05166600368611219+0j)
0.37800000000000006,(0.5667080003251632+0j),(0.18609210616072427+0j),(0.18609210616072436+0j),(0.06110778735338868+0j)
0.396,(0.5366544161739067+0j),(0.1959125883887523+0j),(0.19591258838875245+0j),(0.07152040704858888+0j)
0.414,(0.5070547435930758+0j),(0.2050230215373039+0j),(0.20502302153730395+0j),(0.08289921333231695+0j)
0.43200000000000005,(0.478050587685091+0j),(0.21336143685967443+0j),(0.21336143685967446+0j),(0.09522653859556056+0j)
0.45,(0.4497715635721854+0j),(0.22087854160352077+0j),(0.22087854160352074+0j),(0.10847135322077361+0j)
0.468,(0.42233453038404717+0j),(0.22753817283101127+0j),(0.22753817283101138+0j),(0.12258912395393073+0j)
0.486,(0.3958430291739609+0j),(0.23331754585753386+0j),(0.23331754585753386+0j),(0.13752187911097166+0j)
0.504,(0.3703869286237328+0j),(0.23820729466772517+0j),(0.2382072946677253+0j),(0.15319848204081715+0j)
0.522,(0.3460422791667182+0j),(0.24221130489947212+0j),(0.24221130489947224+0j),(0.16953511103433794+0j)
0.54,(0.3228713729364629+0j),(0.24534634320450982+0j),(0.2453463432045099+0j),(0.18643594065451763+0j)
0.558,(0.30092300378580017+0j),(0.24764148994834623+0j),(0.2476414899483464+0j),(0.20379401631750751+0j)
0.5760000000000001,(0.28023291856673+0j),(0.24913738525350704+0j),(0.24913738525350723+0j),(0.2214923109262559+0j)
0.594,(0.26082444796225895+0j),(0.24988530127135328+0j),(0.2498853012713534+0j),(0.23940494949503455+0j)
0.612,(0.24270930246235428+0j),(0.24994605624427169+0j),(0.24994605624427196+0j),(0.25739858504910207+0j)
0.63,(0.22588851661884557+0j),(0.24938878835041725+0j),(0.24938878835041745+0j),(0.27533390668032+0j)
0.648,(0.21035352253622464+0j),(0.24828960946972256+0j),(0.24828960946972278+0j),(0.2930672585243302+0j)
