t,0,1,2,3
0.12000000000000001,(1.0000000000000002+0j),0j,0j,0j
0.24000000000000002,(0.9999999999999998+0j),0j,0j,0j
0.36000000000000004,(0.9999999999999999+0j),0j,0j,0j
0.48000000000000004,0j,0j,(0.9999999999999998+0j),0j
0.6,0j,(1+0j),0j,0j
0.7200000000000001,0j,0j,0j,(1.0000000000000002+0j)
0.84,0j,0j,(1+0j),0j
0.9600000000000001,0j,(1+0j),0j,0j
1.0799999999999998,0j,0j,(1+0j),0j
1.2,0j,(1+0j),0j,0j
1.32,0j,(1+0j),0j,0j
1.4400000000000002,0j,(0.9999999999999998+0j),0j,0j
1.56,(1.0000000000000002+0j),0j,0j,0j
1.68,(0.9999999999999999+0j),0j,0j,0j
1.8,(1+0j),0j,0j,0j
